04 - 09 - 2020 | Data Modeling with Fireship | Simply EPIC!! - learnt a lot from fireship's data modeling course ![data-modelling](https://fireship.io/courses/firestore-data-modeling/img/featured.jpg)
11 - 09 - 2020 | The Adjacent User Theory | spent my whole day on binge reading the adjacent user theory which shares story of instagram on how it expanded it's user base ![image](http://1g1uem2nc4jy1gzhn943ro0gz50-wpengine.netdna-ssl.com/wp-content/uploads/2020/07/image-1.png)
07 - 10 - 2020 | Built my mind mansion | just like you have your own gym for body, there's something called [mental gym](https://nesslabs.com/mental-gym) which i would like to call it as "The Mind Mansion"
08 - 10 - 2020 | Improved Daily Notes Template | I've been using roam for more than 3 months and I haven't changed my template. So, i decided to change it that works best for me. ![template](https://user-images.githubusercontent.com/21126965/102696339-9be30f80-4253-11eb-816a-51ba3bcdba97.png)
29 - 10 - 2020 | Started weekly reflection | Known the importance of weekly review and started following a simple weekly reflection method ![plus-minus-next](https://user-images.githubusercontent.com/21126965/102695957-d7300f00-4250-11eb-8391-31b18fe98c94.png)
10 - 11 - 2020 | Started Future Founders | after exploring startups and I knew the importance of building something users want, so I joined [YC's Future Founders](http://startupschool.org/)
29 - 11 - 2020 | Deployed Journal | Just now delpoyed my journal to [algokun.xyz](https://journal.algokun.xyz/)
19 - 12 - 2020 | Improved Date Functionality | Added support for year in date of journal
